"Species"	"Use_HUF"	"Use_HUMa"	"Use_HUMe"	"Use_HUC"
"Calamus parvulus"	0	0	0	0
"Calamus paspalanthus"	0	1	1	0
"Calamus paulii"	0	0	0	0
"Calamus pedicellaris"	0	0	0	0
"Calamus pedicellatus"	0	1	0	0
"Calamus penicillatus"	0	0	0	0
"Calamus perakensis"	0	0	0	0
"Calamus peregrinus"	0	0	0	0
"Calamus periacanthus"	1	1	1	0
"Calamus pholidostachys"	0	0	0	0
"Calamus pilosellus"	0	1	0	0
"Calamus pilosissimus"	0	0	0	0
"Calamus pintaudii"	0	1	0	0
"Calamus plagiocyclus"	0	0	0	0
"Calamus platyspathus"	0	0	0	0
"Calamus plicatus"	0	1	0	0
"Calamus poensis"	0	0	0	0
"Calamus pogonacanthus"	0	1	0	0
"Calamus pogonotium"	0	0	0	0
"Calamus poilanei"	0	1	0	0
"Calamus politus"	0	0	0	0
"Calamus polycladus"	0	0	0	0
"Calamus polystachys"	0	1	0	0
"Calamus pseudoconcolor"	0	0	0	0
"Calamus pseudotenuis"	0	0	1	0
"Calamus pseudozebrinus"	0	0	0	0
"Calamus psilocladus"	0	0	0	0
"Calamus pumilus"	0	0	0	0
"Calamus pycnocarpus"	0	0	0	0
"Calamus pygmaeus"	0	0	0	0
"Calamus quangngaiensis"	0	0	0	0
"Calamus radiatus"	0	0	1	0
"Calamus radicalis"	0	0	0	0
"Calamus radulosus"	0	1	0	0
"Calamus rarispinosus"	0	0	0	0
"Calamus reinwardtii"	0	0	0	0
"Calamus reticulatus"	0	0	0	0
"Calamus retroflexus"	0	1	0	0
"Calamus reyesianus"	0	1	0	0
"Calamus rhabdocladus"	0	0	0	0
"Calamus rheedei"	0	0	1	0
"Calamus rhomboideus"	0	1	0	0
"Calamus rhytidomus"	0	1	0	0
"Calamus ridleyanus"	0	0	0	0
"Calamus riedelianus"	0	0	0	0
"Calamus robinsonianus"	0	0	0	0
"Calamus rotang"	1	1	1	0
"Calamus ruber"	1	1	0	0
"Calamus rudentum"	0	1	0	0
"Calamus rugosus"	0	0	0	0
"Calamus rumphii"	0	1	0	0
"Calamus ruptilis"	0	0	0	0
"Calamus ruvidus"	0	1	0	0
"Calamus sabalensis"	0	0	0	0
"Calamus sabensis"	0	0	0	0
"Calamus sabut"	0	1	0	0
"Calamus salicifolius"	0	0	1	0
"Calamus samian"	0	1	0	0
"Calamus sarasinorum"	0	0	0	0
"Calamus sarawakensis"	0	0	0	0
"Calamus sashae"	0	0	0	0
"Calamus scabridulus"	0	1	0	0
"Calamus scabrispathus"	0	0	0	0
"Calamus scapigerus"	0	0	0	0
"Calamus schistoacanthus"	0	1	0	0
"Calamus schlechteri"	0	0	0	0
"Calamus schlechterianus"	0	1	0	0
"Calamus scipionum"	0	1	1	0
"Calamus scleracanthus"	0	1	0	0
"Calamus sedens"	0	0	0	0
"Calamus sedisspirituum"	0	0	0	0
"Calamus sekundurensis"	0	0	0	0
"Calamus senalingensis"	0	0	0	0
"Calamus sepal"	0	0	0	0
"Calamus seriatus"	0	0	0	0
"Calamus serpentinus"	0	0	0	0
"Calamus serrulatus"	0	1	0	0
"Calamus siberutensis"	0	0	0	0
"Calamus simplex"	0	0	0	0
"Calamus singalanus"	0	0	0	0
"Calamus siphonospathus"	1	1	1	0
"Calamus sordidus"	0	0	0	0
"Calamus spanostachys"	0	0	0	0
"Calamus sparsiflorus"	0	0	0	0
"Calamus spectatissimus"	0	0	0	0
"Calamus spiculifer"	0	0	0	0
"Calamus spinifolius"	0	1	0	0
"Calamus spinulinervis"	0	0	0	0
"Calamus spiralis"	0	0	0	0
"Calamus stenophyllus"	0	0	0	0
"Calamus stolonifer"	0	0	0	0
"Calamus suaveolens"	0	0	0	0
"Calamus subangulatus"	0	1	0	0
"Calamus sumbawensis"	0	0	0	0
"Calamus superciliatus"	0	0	0	0
"Calamus symphysipus"	0	1	0	0
"Calamus takanensis"	0	0	0	0
"Calamus tanakadatei"	0	0	0	0
"Calamus temii"	0	0	0	0
"Calamus tenompokensis"	0	0	0	0
"Calamus tenuis"	1	1	1	0
"Calamus tetradactyloides"	0	0	0	0
"Calamus tetradactylus"	0	1	1	0
"Calamus thwaitesii"	0	0	1	0
"Calamus thysanolepis"	1	0	0	0
"Calamus timorensis"	0	0	0	0
"Calamus toli-toliensis"	0	0	0	0
"Calamus trachycoleus"	0	1	0	0
"Calamus trichrous"	0	1	0	0
"Calamus tumidus"	0	0	0	0
"Calamus unifarius"	0	0	0	0
"Calamus unijugus"	0	0	0	0
"Calamus urdanetanus"	0	1	0	0
"Calamus ursinus"	0	0	0	0
"Calamus uschdraweitianus"	0	0	0	0
"Calamus usitatus"	0	1	0	0
"Calamus validus"	0	1	0	0
"Calamus vattayila"	0	0	0	0
"Calamus verticillaris"	0	1	0	0
"Calamus vestitus"	1	1	1	0
"Calamus vidalianus"	0	1	0	0
"Calamus viminalis"	1	1	1	0
"Calamus vinosus"	0	1	0	0
"Calamus viridissimus"	0	1	0	0
"Calamus vitiensis"	0	1	1	1
"Calamus walkeri"	0	0	0	0
"Calamus wanggaii"	0	0	0	0
"Calamus warburgii"	1	1	0	0
"Calamus whitmorei"	0	0	0	0
"Calamus wightii"	0	0	0	0
"Calamus womersleyi"	0	0	0	0
"Calamus wrightmyoensis"	0	0	0	0
"Calamus wuliangshanensis"	0	0	0	0
"Calamus yentuensis"	0	0	0	0
"Calamus zebrinus"	0	1	0	1
"Calamus zeylanicus"	0	0	1	0
"Calamus zieckii"	0	0	0	0
"Calamus zollingeri"	0	1	0	0
"Calamus zonatus"	0	1	0	0
"Calyptrocalyx albertisianus"	0	0	0	1
"Calyptrocalyx amoenus"	0	1	0	0
"Calyptrocalyx arfakianus"	0	0	0	0
"Calyptrocalyx awa"	0	1	0	0
"Calyptrocalyx caudiculatus"	0	0	0	0
"Calyptrocalyx doxanthus"	0	0	0	0
"Calyptrocalyx elegans"	0	1	0	0
"Calyptrocalyx flabellatus"	0	0	0	0
"Calyptrocalyx forbesii"	0	0	0	0
"Calyptrocalyx geonomiformis"	0	0	0	0
"Calyptrocalyx hollrungii"	0	1	0	0
"Calyptrocalyx julianettii"	0	0	0	0
"Calyptrocalyx lauterbachianus"	1	1	0	1
"Calyptrocalyx laxiflorus"	0	0	0	0
"Calyptrocalyx lepidotus"	0	0	0	0
"Calyptrocalyx leptostachys"	0	0	0	0
"Calyptrocalyx merrillianus"	0	1	0	0
"Calyptrocalyx micholitzii"	0	0	0	0
"Calyptrocalyx multifidus"	0	0	0	0
"Calyptrocalyx pachystachys"	0	1	0	0
"Calyptrocalyx pauciflorus"	0	1	0	0
"Calyptrocalyx polyphyllus"	0	1	0	0
"Calyptrocalyx pusillus"	0	0	0	0
"Calyptrocalyx sessiliflorus"	0	0	0	0
"Calyptrocalyx spicatus"	0	1	0	1
"Calyptrocalyx yamutumene"	1	0	0	0
"Calyptrogyne allenii"	0	0	0	0
"Calyptrogyne anomala"	0	0	0	0
"Calyptrogyne baudensis"	0	0	0	0
"Calyptrogyne coloradensis"	0	0	0	0
"Calyptrogyne condensata"	0	0	0	0
"Calyptrogyne costatifrons"	0	0	0	0
"Calyptrogyne deneversii"	0	0	0	0
"Calyptrogyne fortunensis"	0	0	0	0
"Calyptrogyne ghiesbreghtiana"	0	0	0	0
"Calyptrogyne herrerae"	0	0	0	0
"Calyptrogyne kunorum"	0	0	0	0
"Calyptrogyne osensis"	0	0	0	0
"Calyptrogyne panamensis"	0	0	0	0
"Calyptrogyne pubescens"	0	0	0	0
"Calyptrogyne sanblasensis"	0	0	0	0
"Calyptrogyne trichostachys"	0	0	0	0
"Calyptrogyne tutensis"	0	0	0	0
"Calyptronoma occidentalis"	0	0	0	0
"Calyptronoma plumeriana"	0	0	0	0
"Calyptronoma rivalis"	0	0	0	0
"Carpentaria acuminata"	0	0	0	0
"Carpoxylon macrospermum"	0	0	0	0
"Caryota alberti"	0	0	0	0
"Caryota angustifolia"	0	0	0	0
"Caryota cumingii"	1	1	0	1
"Caryota kiriwongensis"	0	0	0	0
"Caryota maxima"	1	1	1	0
"Caryota mitis"	1	1	1	1
"Caryota monostachya"	0	0	0	0
"Caryota no"	1	0	0	0
"Caryota obtusa"	1	1	0	0
"Caryota ophiopellis"	0	0	0	0
"Caryota rumphiana"	1	1	1	1
"Caryota sympetala"	0	0	0	0
"Caryota urens"	1	1	1	1
"Caryota zebrina"	0	0	0	0
"Ceroxylon alpinum"	0	0	1	0
"Ceroxylon amazonicum"	1	0	0	1
"Ceroxylon ceriferum"	0	0	0	0
"Ceroxylon echinulatum"	1	1	0	1
"Ceroxylon parvifrons"	1	1	0	1
"Ceroxylon parvum"	0	1	1	1
"Ceroxylon peruvianum"	0	1	0	0
"Ceroxylon pityrophyllum"	0	0	0	1
"Ceroxylon quindiuense"	1	0	1	1
"Ceroxylon sasaimae"	0	0	0	1
"Ceroxylon ventricosum"	1	1	0	1
"Ceroxylon vogelianum"	1	1	1	1
"Chamaedorea adscendens"	0	0	0	0
"Chamaedorea allenii"	0	0	0	0
"Chamaedorea alternans"	0	0	0	0
"Chamaedorea amabilis"	0	0	0	0
"Chamaedorea anemophila"	0	0	0	0
"Chamaedorea angustisecta"	1	1	1	1
"Chamaedorea arenbergiana"	0	0	0	0
"Chamaedorea atrovirens"	0	0	0	0
"Chamaedorea benziei"	0	0	0	0
"Chamaedorea binderi"	0	0	0	0
"Chamaedorea brachyclada"	0	0	0	0
"Chamaedorea brachypoda"	0	0	0	0
"Chamaedorea carchensis"	0	0	0	0
"Chamaedorea castillo-montii"	0	0	0	0
"Chamaedorea cataractarum"	0	0	0	0
"Chamaedorea christinae"	0	0	0	0
"Chamaedorea correae"	0	0	0	0
"Chamaedorea costaricana"	0	0	0	0
"Chamaedorea crucensis"	0	0	0	0
"Chamaedorea dammeriana"	0	0	0	0
"Chamaedorea deckeriana"	0	0	0	0
"Chamaedorea deneversiana"	0	0	0	0
"Chamaedorea elatior"	0	1	1	0
"Chamaedorea elegans"	0	0	0	0
"Chamaedorea ernesti-augusti"	0	0	0	0
"Chamaedorea falcifera"	0	0	0	0
"Chamaedorea foveata"	0	0	0	0
"Chamaedorea fractiflexa"	0	0	0	0
"Chamaedorea fragrans"	0	0	0	0
"Chamaedorea frondosa"	0	0	0	0
"Chamaedorea geonomiformis"	0	0	0	0
"Chamaedorea glaucifolia"	0	0	0	0
"Chamaedorea graminifolia"	0	0	0	0
"Chamaedorea guntheriana"	0	0	0	0
"Chamaedorea hodelii"	0	0	0	0
"Chamaedorea hooperiana"	0	0	0	0
"Chamaedorea ibarrae"	0	0	0	0
"Chamaedorea incrustata"	0	0	0	0
"Chamaedorea keelerorum"	0	0	0	0
"Chamaedorea klotzschiana"	0	0	0	0
"Chamaedorea lehmannii"	0	0	0	0
"Chamaedorea liebmannii"	0	0	0	0
"Chamaedorea linearis"	0	0	0	0
"Chamaedorea lucidifrons"	0	0	0	0
"Chamaedorea macrospadix"	0	0	0	0
"Chamaedorea matae"	0	0	0	0
"Chamaedorea metallica"	0	0	0	0
"Chamaedorea microphylla"	0	0	0	0
"Chamaedorea microspadix"	0	0	0	0
"Chamaedorea moliniana"	0	0	0	0
"Chamaedorea nationsiana"	0	0	0	0
"Chamaedorea neurochlamys"	0	0	0	0
"Chamaedorea nubium"	0	0	0	0
"Chamaedorea oblongata"	0	0	0	0
"Chamaedorea oreophila"	0	0	0	0
"Chamaedorea pachecoana"	0	0	0	0
"Chamaedorea palmeriana"	0	0	0	0
"Chamaedorea parvifolia"	0	0	0	0
"Chamaedorea parvisecta"	0	0	0	0
"Chamaedorea pauciflora"	1	1	1	1
"Chamaedorea pedunculata"	0	0	0	0
"Chamaedorea pinnatifrons"	1	1	1	1
"Chamaedorea piscifolia"	0	0	0	0
"Chamaedorea pittieri"	0	0	0	0
"Chamaedorea plumosa"	0	0	0	0
"Chamaedorea pochutlensis"	0	0	0	0
"Chamaedorea ponderosa"	0	0	0	0
"Chamaedorea pumila"	0	0	0	0
"Chamaedorea pygmaea"	0	0	0	0
"Chamaedorea queroana"	0	0	0	0
"Chamaedorea radicalis"	0	0	0	0
"Chamaedorea recurvata"	0	0	0	0
"Chamaedorea rhizomatosa"	0	0	0	0
"Chamaedorea ricardoi"	0	0	0	0
"Chamaedorea rigida"	0	0	0	0
"Chamaedorea robertii"	0	0	0	0
"Chamaedorea rojasiana"	0	0	0	0
"Chamaedorea rosibeliae"	0	0	0	0
"Chamaedorea rossteniorum"	0	0	0	0
"Chamaedorea sartorii"	0	0	0	0
"Chamaedorea scheryi"	0	0	0	0
"Chamaedorea schiedeana"	0	0	0	0
"Chamaedorea schippii"	0	0	0	0
"Chamaedorea seifrizii"	0	0	0	0
"Chamaedorea serpens"	0	0	0	0
"Chamaedorea simplex"	0	0	0	0
"Chamaedorea skutchii"	0	0	0	0
"Chamaedorea smithii"	0	0	0	0
"Chamaedorea stenocarpa"	0	0	0	0
"Chamaedorea stolonifera"	0	0	0	0
"Chamaedorea stricta"	0	0	0	0
"Chamaedorea subjectifolia"	0	0	0	0
"Chamaedorea tenerrima"	0	0	0	0
"Chamaedorea tepejilote"	1	0	1	0
"Chamaedorea tuerckheimii"	0	0	0	0
"Chamaedorea undulatifolia"	0	0	0	0
"Chamaedorea verapazensis"	0	0	0	0
"Chamaedorea verecunda"	0	0	0	0
"Chamaedorea volcanensis"	0	0	0	0
"Chamaedorea vulgata"	0	0	0	0
"Chamaedorea warscewiczii"	0	0	0	0
"Chamaedorea whitelockiana"	0	0	0	0
"Chamaedorea woodsoniana"	0	0	0	0
"Chamaedorea zamorae"	0	0	0	0
"Chamaerops humilis"	1	1	1	0
"Chambeyronia lepidota"	0	0	0	0
"Chambeyronia macrocarpa"	0	0	0	0
"Chelyocarpus chuco"	1	1	0	1
"Chelyocarpus dianeurus"	0	1	0	0
"Chelyocarpus repens"	1	1	0	0
"Chelyocarpus ulei"	1	1	0	1
"Chuniophoenix hainanensis"	0	0	0	0
"Chuniophoenix nana"	0	0	0	0
"Clinosperma bracteale"	0	0	0	0
"Clinosperma lanuginosa"	0	0	0	0
"Clinosperma macrocarpa"	0	0	0	0
"Clinosperma vaginata"	0	0	0	0
"Clinostigma carolinense"	0	0	0	0
"Clinostigma collegarum"	0	0	0	0
"Clinostigma exorrhizum"	0	0	0	0
"Clinostigma gronophyllum"	0	0	0	0
"Clinostigma haerestigma"	0	0	0	0
"Clinostigma harlandii"	0	0	0	0
"Clinostigma onchorhynchum"	0	0	0	0
"Clinostigma ponapense"	0	0	0	0
"Clinostigma samoense"	0	0	0	0
"Clinostigma savoryanum"	0	0	0	0
"Clinostigma warburgii"	0	0	0	0
"Coccothrinax acunana"	0	0	0	0
"Coccothrinax alexandri"	0	0	0	0
"Coccothrinax alta"	0	0	0	0
"Coccothrinax argentata"	0	1	0	0
"Coccothrinax argentea"	0	1	0	0
"Coccothrinax baracoensis"	0	0	0	0
"Coccothrinax barbadensis"	0	1	0	0
"Coccothrinax bermudezii"	0	0	0	0
"Coccothrinax borhidiana"	0	0	0	0
"Coccothrinax boschiana"	0	0	0	0
"Coccothrinax camagueyana"	0	0	0	0
"Coccothrinax clarensis"	0	0	0	0
"Coccothrinax concolor"	0	0	0	0
"Coccothrinax crinita"	0	0	0	0
"Coccothrinax cupularis"	0	0	0	0
"Coccothrinax ekmanii"	0	0	0	0
"Coccothrinax elegans"	0	0	0	0
"Coccothrinax fagildei"	0	0	0	0
"Coccothrinax fragrans"	0	0	0	0
"Coccothrinax garciana"	0	0	0	0
"Coccothrinax gracilis"	0	0	0	0
"Coccothrinax guantanamensis"	0	0	0	0
"Coccothrinax gundlachii"	0	0	0	0
"Coccothrinax hioramii"	0	0	0	0
"Coccothrinax inaguensis"	0	0	0	0
"Coccothrinax jamaicensis"	0	0	0	0
"Coccothrinax jimenezii"	0	0	0	0
"Coccothrinax leonis"	0	0	0	0
"Coccothrinax litoralis"	0	0	0	0
"Coccothrinax macroglossa"	0	0	0	0
"Coccothrinax microphylla"	0	0	0	0
"Coccothrinax miraguama"	0	0	0	0
"Coccothrinax moaensis"	0	0	0	0
"Coccothrinax montana"	0	0	0	0
"Coccothrinax munizii"	0	0	0	0
"Coccothrinax muricata"	0	0	0	0
"Coccothrinax nipensis"	0	0	0	0
"Coccothrinax orientalis"	0	0	0	0
"Coccothrinax pauciramosa"	0	0	0	0
"Coccothrinax proctorii"	0	0	0	0
"Coccothrinax pseudorigida"	0	0	0	0
"Coccothrinax pumila"	0	0	0	0
"Coccothrinax readii"	0	0	0	0
"Coccothrinax rigida"	0	0	0	0
"Coccothrinax salvatoris"	0	0	0	0
"Coccothrinax saxicola"	0	0	0	0
"Coccothrinax scoparia"	0	0	0	0
"Coccothrinax spissa"	0	0	0	0
"Coccothrinax torrida"	0	0	0	0
"Coccothrinax trinitensis"	0	0	0	0
"Coccothrinax victorinii"	0	0	0	0
"Coccothrinax yunquensis"	0	0	0	0
"Coccothrinax yuraguana"	0	0	0	0
"Cocos nucifera"	1	1	1	1
"Colpothrinax aphanopetala"	0	0	0	0
"Colpothrinax cookii"	0	0	0	0
"Colpothrinax wrightii"	0	1	0	0
"Copernicia alba"	0	1	1	0
"Copernicia baileyana"	0	1	0	0
"Copernicia berteroana"	0	1	0	0
"Copernicia brittonorum"	0	0	0	0
"Copernicia cowellii"	0	0	0	0
"Copernicia curbeloi"	0	0	0	0
"Copernicia curtissii"	0	0	0	0
"Copernicia ekmanii"	0	0	0	0
"Copernicia fallaensis"	0	0	0	0
"Copernicia gigas"	0	1	0	0
"Copernicia glabrescens"	0	0	0	0
"Copernicia hospita"	0	0	0	0
"Copernicia humicola"	0	0	0	0
"Copernicia longiglossa"	0	0	0	0
"Copernicia macroglossa"	0	0	0	0
"Copernicia molinetii"	0	0	0	0
"Copernicia oxycalyx"	0	0	0	0
"Copernicia prunifera"	1	1	1	0
"Copernicia rigida"	0	1	0	0
"Copernicia roigii"	0	0	0	0
"Copernicia tectorum"	0	0	0	0
"Copernicia yarey"	0	0	0	0
"Corypha lecomtei"	0	0	0	0
"Corypha microclada"	0	0	0	0
"Corypha taliera"	0	0	0	0
"Corypha umbraculifera"	1	1	1	0
"Corypha utan"	1	1	1	1
"Cryosophila bartlettii"	0	0	0	0
"Cryosophila cookii"	0	0	0	0
"Cryosophila grayumii"	0	0	0	0
"Cryosophila guagara"	0	0	0	0
"Cryosophila kalbreyeri"	0	0	0	0
"Cryosophila macrocarpa"	0	0	0	0
"Cryosophila nana"	0	1	0	0
"Cryosophila stauracantha"	0	0	0	0
"Cryosophila warscewiczii"	0	0	0	0
"Cryosophila williamsii"	0	0	0	0
"Cyphokentia cerifera"	0	0	0	0
"Cyphokentia macrostachya"	0	0	0	0
"Cyphophoenix alba"	0	0	0	0
"Cyphophoenix elegans"	0	0	0	0
"Cyphophoenix fulcita"	0	0	0	0
"Cyphophoenix nucele"	0	0	0	0
"Cyphosperma balansae"	0	0	0	0
"Cyphosperma naboutinense"	0	0	0	0
"Cyphosperma tanga"	0	0	0	0
"Cyphosperma trichospadix"	0	0	0	0
"Cyphosperma voutmelense"	0	0	0	0
"Cyrtostachys bakeri"	0	0	0	0
"Cyrtostachys barbata"	0	0	0	0
"Cyrtostachys elegans"	0	0	0	0
"Cyrtostachys excelsa"	0	1	0	0
"Cyrtostachys glauca"	0	1	0	0
"Cyrtostachys loriae"	1	1	0	0
"Cyrtostachys renda"	0	1	0	0
"Deckenia nobilis"	0	0	0	0
"Desmoncus chinantlensis"	0	0	0	0
"Desmoncus cirrhifer"	1	1	1	1
"Desmoncus costaricensis"	0	0	0	0
"Desmoncus giganteus"	1	1	1	1
"Desmoncus horridus"	0	0	0	0
"Desmoncus interjectus"	0	0	0	0
"Desmoncus kunarius"	0	0	0	0
"Desmoncus latisectus"	0	0	0	0
"Desmoncus leptoclonos"	0	0	0	0
"Desmoncus loretanus"	0	0	0	0
"Desmoncus madrensis"	0	0	0	0
"Desmoncus mitis"	1	1	1	1
"Desmoncus moorei"	0	0	0	0
"Desmoncus myriacanthos"	0	0	0	0
"Desmoncus obovoideus"	0	0	0	0
"Desmoncus orthacanthos"	0	0	1	0
"Desmoncus osensis"	0	0	0	0
"Desmoncus parvulus"	0	0	0	0
"Desmoncus polyacanthos"	1	1	1	1
"Desmoncus prunifer"	0	0	0	0
"Desmoncus pumilus"	0	0	0	0
"Desmoncus setosus"	0	0	0	0
"Desmoncus stans"	0	0	0	0
"Desmoncus vacivus"	0	0	0	0
"Dictyocaryum fuscum"	0	0	0	0
"Dictyocaryum lamarckianum"	1	1	0	1
"Dictyocaryum ptarianum"	1	1	0	1
"Dictyosperma album"	1	1	0	0
"Dransfieldia micrantha"	0	1	0	0
"Drymophloeus litigiosus"	0	1	0	0
"Drymophloeus oliviformis"	0	1	0	0
"Drymophloeus whitmeeanus"	0	0	0	0
"Dypsis acaulis"	0	0	0	0
"Dypsis acuminum"	0	0	0	0
"Dypsis albofarinosa"	0	0	0	0
"Dypsis ambanjae"	0	0	0	0
"Dypsis ambilaensis"	0	0	0	0
"Dypsis ambositrae"	0	0	0	0
"Dypsis andapae"	0	0	0	0
"Dypsis andilamenensis"	0	0	0	0
"Dypsis andrianatonga"	0	0	0	0
"Dypsis angusta"	0	0	0	0
"Dypsis angustifolia"	0	0	0	0
"Dypsis anjae"	0	0	0	0
"Dypsis ankaizinensis"	1	0	0	0
"Dypsis ankirindro"	0	0	0	0
"Dypsis antanambensis"	0	0	0	0
"Dypsis aquatilis"	0	0	0	0
"Dypsis arenarum"	0	0	0	0
"Dypsis baronii"	1	0	0	0
"Dypsis basilonga"	1	0	0	0
"Dypsis beentjei"	0	0	0	0
"Dypsis bejofo"	0	0	0	0
"Dypsis bernieriana"	0	0	0	0
"Dypsis betamponensis"	0	0	0	0
"Dypsis betsimisarakae"	0	0	0	0
"Dypsis boiviniana"	0	0	0	0
"Dypsis bonsai"	0	0	0	0
"Dypsis bosseri"	0	0	0	0
"Dypsis brevicaulis"	0	0	0	0
"Dypsis brittiana"	0	0	0	0
"Dypsis cabadae"	0	1	0	0
"Dypsis canaliculata"	0	0	0	0
"Dypsis carlsmithii"	0	0	0	0
"Dypsis catatiana"	0	0	0	0
"Dypsis caudata"	0	0	0	0
"Dypsis ceracea"	0	0	0	0
"Dypsis commersoniana"	0	0	0	0
"Dypsis concinna"	0	0	0	0
"Dypsis confusa"	0	0	0	0
"Dypsis cookei"	0	0	0	0
"Dypsis coriacea"	0	0	0	0
"Dypsis corniculata"	0	0	0	0
"Dypsis coursii"	0	0	0	0
"Dypsis crinita"	0	1	1	0
"Dypsis culminis"	0	0	0	0
"Dypsis curtisii"	0	0	0	0
"Dypsis decaryi"	1	1	0	0
"Dypsis decipiens"	1	0	0	0
"Dypsis delicatula"	0	0	0	0
"Dypsis digitata"	0	0	0	0
"Dypsis dracaenoides"	0	0	0	0
"Dypsis dransfieldii"	0	0	0	0
"Dypsis elegans"	0	0	0	0
"Dypsis eriostachys"	0	0	0	0
"Dypsis faneva"	0	0	0	0
"Dypsis fanjana"	0	0	0	0
"Dypsis fasciculata"	0	0	0	0
"Dypsis fibrosa"	1	1	1	0
"Dypsis forficifolia"	0	0	0	0
"Dypsis furcata"	0	0	0	0
"Dypsis gautieri"	0	0	0	0
"Dypsis glabrescens"	0	0	0	0
"Dypsis gronophyllum"	0	0	0	0
"Dypsis henrici"	0	0	0	0
"Dypsis heteromorpha"	0	0	0	0
"Dypsis heterophylla"	0	0	0	0
"Dypsis hiarakae"	0	0	0	0
"Dypsis hildebrandtii"	0	0	0	0
"Dypsis hovomantsina"	0	0	0	0
"Dypsis humbertii"	0	0	0	0
"Dypsis humblotiana"	0	0	0	0
"Dypsis humilis"	0	0	0	0
"Dypsis ifanadianae"	0	0	0	0
"Dypsis integra"	0	0	0	0
"Dypsis intermedia"	0	0	0	0
"Dypsis interrupta"	0	0	0	0
"Dypsis jeremiei"	0	0	0	0
"Dypsis jumelleana"	0	0	0	0
"Dypsis laevis"	0	0	0	0
"Dypsis lanceolata"	0	0	0	0
"Dypsis lantzeana"	0	0	0	0
"Dypsis lanuginosa"	0	0	0	0
"Dypsis lastelliana"	1	1	0	0
"Dypsis leptocheilos"	0	0	0	0
"Dypsis leucomalla"	0	0	0	0
"Dypsis lilacina"	0	0	0	0
"Dypsis linearis"	0	0	0	0
"Dypsis lokohoensis"	0	0	0	0
"Dypsis louvelii"	0	0	0	0
"Dypsis lutea"	0	0	0	0
"Dypsis lutescens"	0	0	0	0
"Dypsis madagascariensis"	1	1	0	0
"Dypsis mahia"	0	0	0	0
"Dypsis makirae"	0	0	0	0
"Dypsis malcomberi"	0	0	0	0
"Dypsis mananjarensis"	1	1	0	0
"Dypsis mangorensis"	0	0	0	0
"Dypsis marojejyi"	0	0	0	0
"Dypsis mcdonaldiana"	0	0	0	0
"Dypsis metallica"	0	0	0	0
"Dypsis minuta"	0	0	0	0
"Dypsis mirabilis"	0	0	0	0
"Dypsis mocquerysiana"	0	0	0	0
"Dypsis montana"	0	0	0	0
"Dypsis moorei"	0	0	0	0
"Dypsis nauseosa"	0	0	0	0
"Dypsis nodifera"	1	1	0	0
"Dypsis nossibensis"	0	0	0	0
"Dypsis occidentalis"	0	0	0	0
"Dypsis onilahensis"	0	0	0	0
"Dypsis oreophila"	1	0	0	0
"Dypsis oropedionis"	0	0	0	0
"Dypsis ovobontsira"	0	0	0	0
"Dypsis pachyramea"	0	0	0	0
"Dypsis paludosa"	0	0	0	0
"Dypsis pembana"	0	0	0	0
"Dypsis perrieri"	1	1	0	0
"Dypsis pervillei"	0	0	0	0
"Dypsis pilulifera"	1	0	0	0
"Dypsis pinnatifrons"	1	1	0	0
"Dypsis plumosa"	0	0	0	0
"Dypsis poivreana"	0	0	0	0
"Dypsis prestoniana"	1	0	0	0
"Dypsis procera"	0	0	0	0
"Dypsis procumbens"	0	0	0	0
"Dypsis psammophila"	0	0	0	0
"Dypsis pulchella"	0	0	0	0
"Dypsis pumila"	0	0	0	0
"Dypsis pusilla"	0	0	0	0
"Dypsis pustulata"	0	0	0	0
"Dypsis rakotonasoloi"	0	0	0	0
"Dypsis ramentacea"	0	0	0	0
"Dypsis reflexa"	0	0	0	0
"Dypsis remotiflora"	0	0	0	0
"Dypsis rivularis"	0	0	0	0
"Dypsis robusta"	0	0	0	0
"Dypsis rosea"	0	0	0	0
"Dypsis sahanofensis"	0	0	0	0
"Dypsis saintelucei"	0	0	0	0
"Dypsis sancta"	0	0	0	0
"Dypsis sanctaemariae"	0	0	0	0
"Dypsis scandens"	0	1	0	0
"Dypsis schatzii"	0	0	0	0
"Dypsis scottiana"	0	0	0	0
"Dypsis serpentina"	0	0	0	0
"Dypsis simianensis"	0	0	0	0
"Dypsis singularis"	0	0	0	0
"Dypsis soanieranae"	0	0	0	0
"Dypsis spicata"	0	0	0	0
"Dypsis subacaulis"	0	0	0	0
"Dypsis tanalensis"	1	1	0	0
"Dypsis tenuissima"	0	0	0	0
"Dypsis thermarum"	0	1	0	0
"Dypsis thiryana"	0	0	0	0
"Dypsis thouarsiana"	0	1	0	0
"Dypsis tokoravina"	0	1	0	0
"Dypsis trapezoidea"	0	0	0	0
"Dypsis tsaratananensis"	1	0	0	0
"Dypsis tsaravoasira"	1	0	0	0
"Dypsis turkii"	0	0	0	0
"Dypsis utilis"	1	1	0	0
"Dypsis viridis"	0	0	0	0
"Dypsis vonitrandambo"	0	0	0	0
"Elaeis guineensis"	1	1	1	1
"Elaeis oleifera"	1	1	1	1
"Eleiodoxa conferta"	1	1	1	0
"Eremospatha barendii"	0	0	0	0
"Eremospatha cabrae"	0	1	1	0
"Eremospatha cuspidata"	0	0	0	0
"Eremospatha dransfieldii"	0	0	0	0
